order_id,order_date,customer_name,city,category,product_id,sales,profit
CA-2018-100006,9/7/2018,Dennis Kane,New York City,Technology,TEC-PH-10002075,377.97,109.6113
CA-2018-100090,7/8/2018,Ed Braxton,San Francisco,Furniture,FUR-TA-10003715,502.488,-87.9354
CA-2018-100293,3/14/2018,Neil Französisch,Jacksonville,Office Supplies,OFF-PA-10000176,91.056,31.8696
CA-2018-100328,1/28/2018,Jasper Cacioppo,New York City,Office Supplies,OFF-BI-10000343,3.928,1.3257
CA-2018-100363,4/8/2018,Jim Mitchum,Glendale,Office Supplies,OFF-FA-10000611,2.368,0.8288
CA-2018-100391,5/25/2018,Barry Weirich,New York City,Office Supplies,OFF-PA-10001471,14.62,6.7252
CA-2018-100678,4/18/2018,Kunst Miller,Houston,Furniture,FUR-CH-10002602,317.058,-18.1176
CA-2018-100706,12/16/2018,Laurel Elliston,Springfield,Furniture,FUR-FU-10002268,29.46,9.7218
CA-2018-100762,11/24/2018,Nat Gilpin,Jackson,Office Supplies,OFF-AR-10000380,151.92,45.576
CA-2018-100860,3/26/2018,Cindy Stewart,Pomona,Office Supplies,OFF-LA-10001982,18.75,9
CA-2018-100867,10/19/2018,Eugene Hildebrand,Lakewood,Technology,TEC-PH-10004922,321.552,20.097
CA-2018-100881,3/28/2018,Daniel Raglin,Albuquerque,Technology,TEC-PH-10003273,302.376,22.6782
CA-2018-100895,6/2/2018,Stewart Visinsky,Roswell,Office Supplies,OFF-AR-10004511,8.56,2.6536
CA-2018-100916,10/21/2018,Frank Hawley,Newport News,Furniture,FUR-TA-10004607,591.32,112.3508
CA-2018-100916,10/21/2018,Frank Hawley,Newport News,Furniture,FUR-TA-10004607,591.32,112.3508
CA-2018-100916,10/21/2018,Frank Hawley,Newport News,Furniture,FUR-TA-10004607,591.32,112.3508
None,None,None,None,None,None,None,None
,,,,,,,
CA-2018-100916,10/21/2018,Frank Hawley,Newport News,Furniture,FUR-TA-10004607,591.32,112.3508
CA-2018-100972,11/19/2018,Dennis Bolton,Salt Lake City,Office Supplies,OFF-PA-10000357,166.44,79.8912
CA-2018-101147,12/2/2018,Matt Collins,Chicago,Office Supplies,OFF-AP-10004249,2.394,-6.3441
CA-2018-101175,12/9/2018,Dario Medina,Mesa,Office Supplies,OFF-ST-10004950,100.704,-1.2588
CA-2018-101266,8/27/2018,Michael Moore,Springfield,Office Supplies,OFF-PA-10002986,13.36,6.4128
CA-2018-101364,12/22/2018,Tamara Willingham,New York City,Office Supplies,OFF-BI-10003984,296.712,100.1403
CA-2018-101392,12/7/2018,Ann Steele,Seattle,Office Supplies,OFF-ST-10000532,269.36,70.0336
CA-2018-101427,12/26/2018,Andy Yotov,Philadelphia,Office Supplies,OFF-AR-10002257,8.016,1.1022
CA-2018-101462,4/20/2018,Benjamin Patterson,Los Angeles,Furniture,FUR-FU-10000409,59.92,27.5632
CA-2018-101476,9/12/2018,Shirley Daniels,New Rochelle,Technology,TEC-MA-10000029,69.99,30.0957
CA-2018-101560,11/28/2018,Chris Selesnick,Columbia,Furniture,FUR-FU-10003773,397.6,43.736
CA-2018-101602,12/15/2018,Mick Crebagga,El Paso,Furniture,FUR-CH-10004675,763.28,-21.808
CA-2018-101770,3/31/2018,Karen Bern,Miami,Office Supplies,OFF-BI-10001097,1.869,-1.3083
CA-2018-101833,11/17/2018,Frank Gastineau,New York City,Office Supplies,OFF-PA-10003591,34.44,17.22
